EPSPs recorded with voltage sensitive dye JPW1114 from the CA1 field of rat hippocampal slice,,,,,,,,,,,,,,,,,,,,,,
,,LM input,,,,,,,,,,,OR input,,,,,,,,,
,time,"location2,7","3,7","4,7","5,7","6,7","8,7","9,7","10,7","11,7","12,7",,"location2,7","3,7","4,7","5,7","6,7","8,7","9,7","10,7","11,7","12,7"

33,8.25,0.005220014,-0.006488409,0.003952257,0.00532665,0.001753551,-0.002560518,-0.003113104,-0.002800693,0.005795219,0.002281572,,0.000230115,-0.000609924,-0.002903094,-0.003068514,-0.005927575,0.0033008,0.003992611,0.000773546,0.004183659,0.00374001
34,8.5,0.00114902,0.002513563,-0.005020889,0.003799925,0.000790953,-0.004251989,-0.005388168,-9.79449E-05,0.008884448,-0.003238787,,0.000185675,0.001300863,-0.002368304,-0.004826544,0.00059719,0.003674761,-0.006370644,-0.007057342,0.010038625,0.001653133
35,8.75,-0.002917225,-0.008105118,-0.001432513,-0.003250747,-0.004157049,-0.006882649,-0.005531728,-0.002635541,0.004583551,0.006648179,,0.004239427,-0.000946916,-0.003645304,-0.003040482,-0.000988772,-0.005184056,-0.000771056,0.003028346,0.009364418,-0.001238895
36,9,0.000339713,0.003138515,0.00189148,-0.000170382,0.002204556,-0.004145854,-0.006943419,0.009700726,-0.002125257,0.006262838,,0.005062512,-0.004036719,0.002752384,0.00787188,-0.000259257,-0.003973675,-0.004971574,-0.000211104,0.004968953,0.00294606
37,9.25,0.007454357,-0.000347389,0.001057683,-0.01117979,-0.002858851,0.000396148,-0.001543275,-0.001966585,-0.002644871,0.00457525,,-0.006009438,-0.004306051,0.002181506,-0.001071097,0.004837408,-0.007936934,0.000301101,0.000702218,0.003468375,0.004762236
38,9.5,0.009979515,-0.004926518,0.003539989,-0.002242597,-0.008276453,-0.004141322,-0.005005208,0.008843048,0.005259565,0.002596255,,-0.00301709,-0.001700877,0.003216612,0.004103814,-0.002978976,0.002489644,-0.002356527,-0.004150318,0.002334853,0.004560224
39,9.75,0.000654835,0.000355246,0.011167318,-0.007094185,-0.002308748,0.00314999,-0.018516185,0.007544792,0.00898532,0.002506379,,-0.008241366,0.007265345,-0.001634158,-0.006035434,-0.011988753,0.002738372,0.002190278,0.004337986,0.004517815,-0.004402216
40,10,0.006794503,0.005558069,0.0031216,0.002604299,-0.003024171,0.005364691,-0.006451557,0.006185602,0.004859334,-4.12387E-05,,-0.006041328,-0.000794634,0.003684063,0.002843337,-0.002221443,0.002107117,-0.000383583,0.005585837,0.007309028,-0.006960902
41,10.25,0.002762543,-0.004049291,0.00082276,-0.007528314,4.25174E-05,0.001854919,-0.006069472,-0.001101233,-0.001172127,0.006360412,,0.003838927,0.00264926,0.003679004,0.001001998,0.005042664,0.001003214,0.004601107,-0.002104987,0.001767768,0.003578296
42,10.5,0.005061754,0.006820201,-0.004732566,-0.008620047,0.001217709,0.001059479,-0.008373262,0.001357713,-0.01245675,0.006835313,,0.002536489,-0.004234768,-0.006378758,-0.004433347,-0.000945383,-0.004298129,-0.010620856,0.002865523,0.00495104,0.009781525
43,10.75,0.001728485,0.005600897,-0.005066063,-0.000641327,-0.004194938,0.00680828,0.00133983,0.016751299,-0.006298245,0.002154929,,0.000730182,0.001790695,-0.005974732,-0.000577732,-0.004297078,0.000651278,-0.008996436,0.003398769,0.0030612,-0.000938158
