Time (ms),Light,Current (pA)
920,1,-6.09605
922,1,-6.66976
924,1,-6.76223
926,1,-8.09364
928,1,-8.34592
930,1,-6.86098
932,1,-6.23742
934,1,-6.21653
936,1,-6.14523
938,1,-6.01411
940,1,-6.07589
942,1,-6.35068
944,1,-6.55111
946,1,-6.97979
948,1,-7.04671
950,1,-7.11378
952,1,-7.20837
954,1,-6.74992
956,1,-6.29869
958,1,-6.16056
960,1,-6.38478
962,1,-6.4963
964,1,-6.67908
966,1,-6.8837
968,1,-6.92946
970,1,-6.687
972,1,-6.72005
974,1,-6.85994
976,1,-6.68812
978,1,-6.42672
980,1,-6.17377
982,1,-6.51872
984,1,-7.24428
986,1,-7.38597
988,1,-7.62893
990,1,-7.89762
992,1,-7.57719
994,1,-7.66904
996,1,-7.78064
998,1,-7.39055
1000,1,-7.22692
1002,1,-7.6295
1004,1,-7.57181
1006,1,-7.39276
1008,1,-7.78487
1010,1,-8.48503
1012,1,-8.73148
1014,1,-10.26141
1016,1,-9.22001
1018,1,-9.07813
1020,1,-8.26163
1022,1,-8.22153
1024,1,-9.03046
1026,1,-9.4079
1028,1,-8.11134
1030,1,-7.62437
1032,1,-7.06099
1034,1,-7.16732
1036,1,-6.81566
1038,1,-7.1455
1040,1,-7.35123
1042,1,-7.02052
1044,1,-6.85559
1046,1,-7.04322
1048,1,-6.68861
1050,1,-6.55488
1052,1,-6.20396
1054,1,-6.20428
1056,1,-6.41156
1058,1,-6.64095
1060,1,-7.29599
1062,1,-8.87418
1064,1,-7.61187
1066,1,-7.41268
1068,1,-7.52036
1070,1,-7.09901
1072,1,-6.4736
1074,1,-6.63004
1076,1,-6.82105
1078,1,-6.76624
1080,1,-6.52832
1082,1,-6.71001
1084,1,-6.78538
1086,1,-6.26472
1088,1,-6.38065
1090,1,-6.42605
1092,1,-5.84967
1094,1,-5.81271
1096,1,-5.86028
1098,1,-6.22009
1100,1,-6.1269
1102,1,-6.0153
1104,1,-5.98155
1106,1,-6.33138
1108,1,-6.17237
1110,1,-6.09236
1112,1,-6.01819
1114,1,-6.16983
1116,1,-6.58766
1118,1,-6.54827
1120,1,-6.87825
1122,1,-7.6639
1124,1,-7.53362
1126,1,-7.4888
1128,1,-8.02114
1130,1,-7.82493
1132,1,-9.19775
1134,1,-7.75818
1136,1,-7.34765
1138,1,-7.66555
1140,1,-8.01634
1142,1,-7.91256
1144,1,-7.61271
1146,1,-7.11272
1148,1,-7.15375
1150,1,-6.85788
1152,1,-6.76233
1154,1,-6.96004
1156,1,-6.75312
1158,1,-6.92118
1160,1,-7.5669
1162,1,-7.59082
1164,1,-8.03333
1166,1,-8.13379
1168,1,-8.23667
1170,1,-8.51811
1172,1,-8.75914
1174,1,-6.69087
1176,1,-6.85875
1178,1,-6.49857
1180,1,-6.84287
1182,1,-6.99413
1184,1,-7.24402
1186,1,-7.23964
1188,1,-7.28198
1190,1,-7.10639
1192,1,-6.6752
1194,1,-6.42265
1196,1,-6.10826
1198,1,-6.11966
1200,1,-6.84526
1202,1,-6.36084
1204,1,-6.28315
1206,1,-6.6764
1208,1,-6.43354
1210,1,-6.37367
1212,1,-6.07271
1214,1,-5.98912
1216,1,-6.1755
1218,1,-6.47065
1220,1,-6.34406
1222,1,-6.44064
1224,1,-6.45169
1226,1,-6.4526
1228,1,-6.56573
1230,1,-6.76692
1232,1,-6.737
1234,1,-6.34716
1236,1,-5.92767
1238,1,-6.15859
1240,1,-6.62539
1242,1,-6.99221
1244,1,-7.01123
1246,1,-7.24902
1248,1,-7.59483
1250,1,-7.21156
1252,1,-6.96302
1254,1,-7.10125
1256,1,-7.13521
1258,1,-6.95968
1260,1,-7.04753
1262,1,-7.22387
1264,1,-7.23294
1266,1,-8.26419
1268,1,-8.39782
1270,1,-7.32865
1272,1,-7.17127
1274,1,-6.74018
1276,1,-6.57309
1278,1,-6.65994
1280,1,-6.69705
1282,1,-6.87492
1284,1,-6.93871
1286,1,-7.21473
1288,1,-7.43098
1290,1,-7.3528
1292,1,-7.12366
1294,1,-6.97793
1296,1,-7.11931
1298,1,-6.82797
1300,1,-7.04569
1302,1,-7.61155
1304,1,-7.69954
1306,1,-7.28669
1308,1,-7.2431
1310,1,-7.04915
1312,1,-6.65823
1314,1,-7.28337
1316,1,-7.12372
1318,1,-7.56168
1320,1,-7.88131
1322,1,-7.80361
1324,1,-7.99699
1326,1,-7.91573
1328,1,-8.78697
1330,1,-7.60762
1332,1,-6.6106
1334,1,-6.39289
