Time (ms),Light,Current (pA)
2668,0,-49.81523
2672,0,-49.74149
2676,0,-48.70677
2680,0,-48.92476
2684,0,-49.6857
2688,0,-50.15516
2692,0,-49.94826
2696,0,-49.27259
2700,0,-49.01124
2704,0,-50.11124
2708,0,-50.49858
2712,0,-49.43808
2716,0,-49.10763
2720,0,-49.02788
2724,0,-48.51209
2728,0,-48.7056
2732,0,-48.76512
2736,0,-48.64743
2740,0,-48.58185
2744,0,-48.85498
2748,0,-48.81515
2752,0,-48.41437
2756,0,-48.48174
2760,0,-48.2079
2764,0,-48.54871
2768,0,-48.38103
2772,0,-48.36079
2776,0,-49.42932
2780,0,-49.42172
2784,0,-49.18853
2788,0,-48.77893
2792,0,-48.28693
2796,0,-48.32515
2800,0,-48.65529
2804,0,-48.80945
2808,0,-48.95992
2812,0,-48.80763
2816,0,-49.43821
2820,0,-49.54103
2824,0,-48.25352
2828,0,-48.61311
2832,0,-48.62561
2836,0,-48.40066
2840,0,-48.37437
2844,0,-49.15297
2848,0,-49.73838
2852,0,-49.18829
2856,0,-48.21709
2860,0,-47.8429
2864,0,-48.24027
2868,0,-48.04023
2872,0,-48.61122
2876,0,-50.20042
2880,0,-50.65811
2884,0,-49.86017
2888,0,-49.9892
2892,0,-50.50378
2896,0,-49.93648
2900,0,-49.3125
2904,0,-48.66859
2908,0,-48.15668
2912,0,-49.28132
2916,0,-48.94633
2920,0,-48.53695
2924,0,-49.59813
2928,0,-48.97743
2932,0,-48.56483
2936,0,-48.08524
2940,0,-48.81715
2944,0,-48.62271
2948,0,-47.94069
2952,0,-47.91531
2956,0,-48.23497
2960,0,-48.54194
2964,0,-48.30959
2968,0,-48.08694
2972,0,-48.24756
2976,0,-49.1642
2980,0,-49.11989
2984,0,-48.64063
2988,0,-48.44354
2992,0,-48.95201
2996,0,-48.31399
